Sample,Type,Site,Reach,Location,Replicate,Date,Dry Weight (g),Tin Weight (g),Subsample Dry Weight + Tin (g),Subsample Dry Weight (g),Tin + Ash (g),Ash (g),Subsample AFDM (g), Sample OM (g),Sampler Radius (cm),Sampler Area (cm^2),CPOM (g/m^2),Carbon Mass CPOM (g/m^2)
CBPOC,SUSPENDED,LP,BDA,LWR,1,6/14/2021,0.1205,0.9336,0.0000,0.0000,0.9566,0.0230,0.0000,0.0975,8.75,240.53,11.14,5.79
CBPOC,SUSPENDED,LP,BDA,LWR,2,6/14/2021,0.1104,0.9367,0.0000,0.0000,0.9552,0.0185,0.0000,0.0919,8.75,240.53,10.50,5.46
CBPOC,SUSPENDED,LP,BDA,LWR,3,6/14/2021,0.0276,0.9345,0.0000,0.0000,0.9388,0.0043,0.0000,0.0233,8.75,240.53,2.66,1.38
CBPOC,SUSPENDED,LP,BDA,MID,1,6/14/2021,0.3199,0.9345,0.0000,0.0000,0.9971,0.0626,0.0000,0.2573,8.75,240.53,29.41,15.29
CBPOC,SUSPENDED,LP,BDA,MID,2,6/14/2021,0.5657,0.9330,0.0000,0.0000,1.0572,0.1242,0.0000,0.4415,8.75,240.53,50.46,26.24
CBPOC,SUSPENDED,LP,BDA,MID,3,6/14/2021,1.5274,0.9379,0.0000,0.0000,1.2527,0.3148,0.0000,1.2126,8.75,240.53,138.58,72.06
CBPOC,SUSPENDED,LP,BDA,UPR,1,6/14/2021,3.8280,0.9319,1.4744,0.5425,1.0140,0.0821,0.4604,3.2487,8.75,240.53,371.28,193.06
CBPOC,SUSPENDED,LP,BDA,UPR,2,6/14/2021,0.4496,0.9348,0.0000,0.0000,0.9829,0.0481,0.0000,0.4015,8.75,240.53,45.89,23.86
CBPOC,SUSPENDED,LP,BDA,UPR,3,6/14/2021,0.6897,0.9344,0.0000,0.0000,1.2302,0.2958,0.0000,0.3939,8.75,240.53,45.02,23.41
CBPOC,SUSPENDED,LP,REF,LWR,1,6/14/2021,0.1931,0.9343,0.0000,0.0000,0.9483,0.0140,0.0000,0.1791,8.75,240.53,20.47,10.64
CBPOC,SUSPENDED,LP,REF,LWR,2,6/14/2021,0.1007,0.9319,0.0000,0.0000,0.9403,0.0084,0.0000,0.0923,8.75,240.53,10.55,5.49
CBPOC,SUSPENDED,LP,REF,LWR,3,6/14/2021,0.0879,0.9346,0.0000,0.0000,0.9425,0.0079,0.0000,0.0800,8.75,240.53,9.14,4.75
CBPOC,SUSPENDED,LP,REF,MID,1,6/14/2021,11.3730,0.9318,1.9606,1.0288,1.0117,0.0799,0.9489,10.4897,8.75,240.53,1198.83,623.39
CBPOC,SUSPENDED,LP,REF,MID,2,6/14/2021,5.2545,0.9381,1.7902,0.8521,1.0416,0.1035,0.7486,4.6163,8.75,240.53,527.57,274.34
CBPOC,SUSPENDED,LP,REF,MID,3,6/14/2021,0.7991,0.9339,0.0000,0.0000,1.0541,0.1202,0.0000,0.6789,8.75,240.53,77.59,40.35
CBPOC,SUSPENDED,LP,REF,UPR,1,6/14/2021,0.0380,0.9361,0.0000,0.0000,0.9386,0.0025,0.0000,0.0355,8.75,240.53,4.06,2.11
CBPOC,SUSPENDED,LP,REF,UPR,2,6/14/2021,6.1195,0.9370,1.5279,0.5909,1.0140,0.0770,0.5139,5.3221,8.75,240.53,608.24,316.28
CBPOC,SUSPENDED,LP,REF,UPR,3,6/14/2021,0.2137,0.9351,0.0000,0.0000,0.9563,0.0212,0.0000,0.1925,8.75,240.53,22.00,11.44
CBPOC,SUSPENDED,FH,BDA,LWR,1,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,FH,BDA,LWR,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,FH,BDA,LWR,3,6/15/2021,0.1202,0.9351,0.0000,0.0000,0.9948,0.0597,0.0000,0.0605,8.75,240.53,6.91,3.60
CBPOC,SUSPENDED,FH,BDA,MID,1,6/15/2021,0.0422,0.9300,0.0000,0.0000,0.9394,0.0094,0.0000,0.0328,8.75,240.53,3.75,1.95
CBPOC,SUSPENDED,FH,BDA,MID,2,6/15/2021,0.0750,0.9315,0.0000,0.0000,0.9434,0.0119,0.0000,0.0631,8.75,240.53,7.21,3.75
CBPOC,SUSPENDED,FH,BDA,MID,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,FH,BDA,UPR,1,6/15/2021,0.7963,0.9376,0.0000,0.0000,1.0624,0.1248,0.0000,0.6715,8.75,240.53,76.74,39.91
CBPOC,SUSPENDED,FH,BDA,UPR,2,6/15/2021,0.0113,0.9372,0.0000,0.0000,0.9378,0.0006,0.0000,0.0107,8.75,240.53,1.22,0.64
CBPOC,SUSPENDED,FH,BDA,UPR,3,6/15/2021,0.0100,0.9331,0.0000,0.0000,0.9338,0.0007,0.0000,0.0093,8.75,240.53,1.06,0.55
CBPOC,SUSPENDED,FH,REF,LWR,1,6/15/2021,0.0353,0.9312,0.0000,0.0000,0.9362,0.0050,0.0000,0.0303,8.75,240.53,3.46,1.80
CBPOC,SUSPENDED,FH,REF,LWR,2,6/15/2021,0.0353,0.9307,0.0000,0.0000,0.9450,0.0143,0.0000,0.0210,8.75,240.53,2.40,1.25
CBPOC,SUSPENDED,FH,REF,LWR,3,6/15/2021,0.0065,0.9323,0.0000,0.0000,0.9324,0.0001,0.0000,0.0064,8.75,240.53,0.73,0.38
CBPOC,SUSPENDED,FH,REF,MID,1,6/15/2021,0.2523,0.9316,0.0000,0.0000,0.9593,0.0277,0.0000,0.2246,8.75,240.53,25.67,13.35
CBPOC,SUSPENDED,FH,REF,MID,2,6/15/2021,0.0923,0.9300,0.0000,0.0000,0.9383,0.0083,0.0000,0.0840,8.75,240.53,9.60,4.99
CBPOC,SUSPENDED,FH,REF,MID,3,6/15/2021,0.0021,0.9306,0.0000,0.0000,0.9301,-0.0005,0.0000,0.0026,8.75,240.53,0.30,0.15
CBPOC,SUSPENDED,FH,REF,UPR,1,6/15/2021,0.6430,0.9299,0.0000,0.0000,0.9393,0.0094,0.0000,0.6336,8.75,240.53,72.41,37.65
CBPOC,SUSPENDED,FH,REF,UPR,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,FH,REF,UPR,3,6/15/2021,0.0078,0.9353,0.0000,0.0000,0.9403,0.0050,0.0000,0.0028,8.75,240.53,0.32,0.17
CBPOC,SUSPENDED,TP,BDA,LWR,1,6/17/2021,0.5707,0.9354,0.0000,0.0000,1.0126,0.0772,0.0000,0.4935,8.75,240.53,56.40,29.33
CBPOC,SUSPENDED,TP,BDA,LWR,2,6/17/2021,0.0863,0.9360,0.0000,0.0000,0.9457,0.0097,0.0000,0.0766,8.75,240.53,8.75,4.55
CBPOC,SUSPENDED,TP,BDA,LWR,3,6/17/2021,1.3350,0.9332,0.0000,0.0000,1.4793,0.5461,0.0000,0.7889,8.75,240.53,90.16,46.88
CBPOC,SUSPENDED,TP,BDA,MID,1,6/17/2021,2.0799,0.9312,0.0000,0.0000,1.5315,0.6003,0.0000,1.4796,8.75,240.53,169.10,87.93
CBPOC,SUSPENDED,TP,BDA,MID,2,6/17/2021,0.1932,0.9326,0.0000,0.0000,0.9499,0.0173,0.0000,0.1759,8.75,240.53,20.10,10.45
CBPOC,SUSPENDED,TP,BDA,MID,3,6/17/2021,1.7476,0.9360,0.0000,0.0000,1.4650,0.5290,0.0000,1.2186,8.75,240.53,139.27,72.42
CBPOC,SUSPENDED,TP,BDA,UPR,1,6/17/2021,0.3451,0.9292,0.0000,0.0000,0.9872,0.0580,0.0000,0.2871,8.75,240.53,32.81,17.06
CBPOC,SUSPENDED,TP,BDA,UPR,2,6/17/2021,1.1551,0.9315,0.0000,0.0000,1.2564,0.3249,0.0000,0.8302,8.75,240.53,94.88,49.34
CBPOC,SUSPENDED,TP,BDA,UPR,3,6/17/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,TP,REF,LWR,1,6/17/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,TP,REF,LWR,2,6/17/2021,0.0602,0.9349,0.0000,0.0000,0.9532,0.0183,0.0000,0.0419,8.75,240.53,4.79,2.49
CBPOC,SUSPENDED,TP,REF,LWR,3,6/17/2021,0.2306,0.9327,0.0000,0.0000,1.0384,0.1057,0.0000,0.1249,8.75,240.53,14.27,7.42
CBPOC,SUSPENDED,TP,REF,MID,1,6/17/2021,2.0991,0.9361,0.0000,0.0000,1.2350,0.2989,0.0000,1.8002,8.75,240.53,205.74,106.98
CBPOC,SUSPENDED,TP,REF,MID,2,6/17/2021,0.0565,0.9352,0.0000,0.0000,0.9568,0.0216,0.0000,0.0349,8.75,240.53,3.99,2.07
CBPOC,SUSPENDED,TP,REF,MID,3,6/17/2021,0.1712,0.9286,0.0000,0.0000,0.9474,0.0188,0.0000,0.1524,8.75,240.53,17.42,9.06
CBPOC,SUSPENDED,TP,REF,UPR,1,6/17/2021,0.2374,0.9335,0.0000,0.0000,0.9766,0.0431,0.0000,0.1943,8.75,240.53,22.21,11.55
CBPOC,SUSPENDED,TP,REF,UPR,2,6/17/2021,0.0899,0.9367,0.0000,0.0000,0.9504,0.0137,0.0000,0.0762,8.75,240.53,8.71,4.53
CBPOC,SUSPENDED,TP,REF,UPR,3,6/17/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,LP,BDA,LWR,1,7/5/2021,0.2723,0.9328,0.0000,0.0000,1.0031,0.0703,0.0000,0.2020,8.75,240.53,23.09,12.00
CBPOC,SUSPENDED,LP,BDA,LWR,2,7/5/2021,0.2258,0.9315,0.0000,0.0000,0.9740,0.0425,0.0000,0.1833,8.75,240.53,20.95,10.89
CBPOC,SUSPENDED,LP,BDA,LWR,3,7/5/2021,0.4803,0.9322,0.0000,0.0000,0.9812,0.0490,0.0000,0.4313,8.75,240.53,49.29,25.63
CBPOC,SUSPENDED,LP,BDA,MID,1,7/5/2021,0.0919,0.9359,0.0000,0.0000,0.9563,0.0204,0.0000,0.0715,8.75,240.53,8.17,4.25
CBPOC,SUSPENDED,LP,BDA,MID,2,7/5/2021,0.1467,0.9313,0.0000,0.0000,0.9575,0.0262,0.0000,0.1205,8.75,240.53,13.77,7.16
CBPOC,SUSPENDED,LP,BDA,MID,3,7/5/2021,1.9769,0.9301,0.0000,0.0000,1.6459,0.7158,0.0000,1.2611,8.75,240.53,144.13,74.95
CBPOC,SUSPENDED,LP,BDA,UPR,1,7/5/2021,0.4208,0.9320,0.0000,0.0000,0.9814,0.0494,0.0000,0.3714,8.75,240.53,42.45,22.07
CBPOC,SUSPENDED,LP,BDA,UPR,2,7/5/2021,0.1619,0.9311,0.0000,0.0000,0.9951,0.0640,0.0000,0.0979,8.75,240.53,11.19,5.82
CBPOC,SUSPENDED,LP,BDA,UPR,3,7/5/2021,0.0505,0.9314,0.0000,0.0000,0.9539,0.0225,0.0000,0.0280,8.75,240.53,3.20,1.66
CBPOC,SUSPENDED,LP,REF,LWR,1,7/5/2021,0.2011,0.9353,0.0000,0.0000,0.9687,0.0334,0.0000,0.1677,8.75,240.53,19.17,9.97
CBPOC,SUSPENDED,LP,REF,LWR,2,7/5/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,LP,REF,LWR,3,7/5/2021,0.0310,0.9379,0.0000,0.0000,0.9460,0.0081,0.0000,0.0229,8.75,240.53,2.62,1.36
CBPOC,SUSPENDED,LP,REF,MID,1,7/5/2021,0.6192,0.9372,0.0000,0.0000,1.0268,0.0896,0.0000,0.5296,8.75,240.53,60.53,31.47
CBPOC,SUSPENDED,LP,REF,MID,2,7/5/2021,0.5706,0.9372,0.0000,0.0000,1.0062,0.0690,0.0000,0.5016,8.75,240.53,57.33,29.81
CBPOC,SUSPENDED,LP,REF,MID,3,7/5/2021,1.1542,0.9294,0.0000,0.0000,1.0667,0.1373,0.0000,1.0169,8.75,240.53,116.22,60.43
CBPOC,SUSPENDED,LP,REF,UPR,1,7/5/2021,0.0725,0.9352,0.0000,0.0000,0.9442,0.0090,0.0000,0.0635,8.75,240.53,7.26,3.77
CBPOC,SUSPENDED,LP,REF,UPR,2,7/5/2021,0.9205,0.9317,0.0000,0.0000,1.0750,0.1433,0.0000,0.7772,8.75,240.53,88.82,46.19
CBPOC,SUSPENDED,LP,REF,UPR,3,7/5/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,SUSPENDED,FH,BDA,LWR,1,7/6/2021,1.3766,0.9334,0.0000,0.0000,1.3505,0.4171,0.0000,0.9595,8.75,240.53,109.66,57.02
CBPOC,SUSPENDED,FH,BDA,LWR,2,7/6/2021,0.0071,0.9364,0.0000,0.0000,0.9376,0.0012,0.0000,0.0059,8.75,240.53,0.67,0.35
CBPOC,SUSPENDED,FH,BDA,LWR,3,7/6/2021,0.0125,0.9367,0.0000,0.0000,0.9384,0.0017,0.0000,0.0108,8.75,240.53,1.23,0.64
CBPOC,SUSPENDED,FH,BDA,MID,1,7/6/2021,1.2572,0.9322,0.0000,0.0000,1.2328,0.3006,0.0000,0.9566,8.75,240.53,109.33,56.85
CBPOC,SUSPENDED,FH,BDA,MID,2,7/6/2021,0.2550,0.9319,0.0000,0.0000,1.0142,0.0823,0.0000,0.1727,8.75,240.53,19.74,10.26
CBPOC,SUSPENDED,FH,BDA,MID,3,7/6/2021,0.4469,0.9321,0.0000,0.0000,1.0196,0.0875,0.0000,0.3594,8.75,240.53,41.07,21.36
CBPOC,SUSPENDED,FH,BDA,UPR,1,7/6/2021,1.2875,0.9338,0.0000,0.0000,1.2295,0.2957,0.0000,0.9918,8.75,240.53,113.35,58.94
