Sample,Site,Reach,Location,Replicate,Date,Depth 1,Depth 2,Depth 3,Depth 4 ,Filtered BCPOC (ml),Filtered BFPOC (ml)
SBPOC,LP,BDA,LWR,1,6/14/2021,24,24.2,25,24,1000,30
SBPOC,LP,BDA,LWR,2,6/14/2021,33.4,33.8,33.4,33,1000,30
SBPOC,LP,BDA,LWR,3,6/14/2021,39.8,37.3,37.6,38.7,1000,30
SBPOC,LP,BDA,MID,1,6/14/2021,33.5,33.3,32.8,33,1000,28
SBPOC,LP,BDA,MID,2,6/14/2021,42,42.3,40.3,41.5,1000,60
SBPOC,LP,BDA,MID,3,6/14/2021,32.8,31.4,29,29.8,400,10
SBPOC,LP,BDA,UPR,1,6/14/2021,32.8,30,31,32.4,1000,17
SBPOC,LP,BDA,UPR,2,6/14/2021,27.9,26.6,28.5,29,1000,40
SBPOC,LP,BDA,UPR,3,6/14/2021,17.9,17.5,17.6,16.8,1000,25
SBPOC,LP,REF,LWR,1,6/14/2021,17.8,18,19.4,18.1,1000,50
SBPOC,LP,REF,LWR,2,6/14/2021,19.9,20.5,21.5,21,1000,180
SBPOC,LP,REF,LWR,3,6/14/2021,16,16,15.9,14.7,1000,180
SBPOC,LP,REF,MID,1,6/14/2021,18,18,16.9,15.8,1000,50
SBPOC,LP,REF,MID,2,6/14/2021,18,19.5,18.3,20,1000,50
SBPOC,LP,REF,MID,3,6/14/2021,14.9,14,12.9,13,1000,60
SBPOC,LP,REF,UPR,1,6/14/2021,5.5,6,5,5.2,1000,80
SBPOC,LP,REF,UPR,2,6/14/2021,9,7.5,7.5,8,1000,40
SBPOC,LP,REF,UPR,3,6/14/2021,7,6.5,5.7,6,1000,50
SBPOC,FH,BDA,LWR,1,6/15/2021,54,58.5,56,56,1000,20
SBPOC,FH,BDA,LWR,2,6/15/2021,30,28.3,25,29,1000,30
SBPOC,FH,BDA,LWR,3,6/15/2021,10,11,9,10.5,1000,20
SBPOC,FH,BDA,MID,1,6/15/2021,40.6,38.8,39.7,40,1000,15
SBPOC,FH,BDA,MID,2,6/15/2021,20,21.5,19,20,1000,15
SBPOC,FH,BDA,MID,3,6/15/2021,29.5,30,31.5,29.3,1000,15
SBPOC,FH,BDA,UPR,1,6/15/2021,32.6,32.5,31.8,30.5,1000,30
SBPOC,FH,BDA,UPR,2,6/15/2021,31.5,31.9,29.5,30.5,1000,40
SBPOC,FH,BDA,UPR,3,6/15/2021,25.5,27.3,27,25.8,1000,30
SBPOC,FH,REF,LWR,1,6/15/2021,11,13,12,10.5,1000,20
SBPOC,FH,REF,LWR,2,6/15/2021,13.9,13.9,15,15,1000,20
SBPOC,FH,REF,LWR,3,6/15/2021,22.5,23,20,22.8,1000,80
SBPOC,FH,REF,MID,1,6/15/2021,14,13.8,14.8,14,1000,90
SBPOC,FH,REF,MID,2,6/15/2021,11,10,10,10.9,1000,100
SBPOC,FH,REF,MID,3,6/15/2021,12,10,11.5,11,1000,100
SBPOC,FH,REF,UPR,1,6/15/2021,4.5,5,4.7,3.2,1000,20
SBPOC,FH,REF,UPR,2,6/15/2021,11.5,8,10.8,12,1000,90
SBPOC,FH,REF,UPR,3,6/15/2021,15,14,14.5,14.5,1000,NO DATA
SBPOC,TP,BDA,LWR,1,6/17/2021,41.5,47.3,43.2,41,1000,21
SBPOC,TP,BDA,LWR,2,6/17/2021,38.5,37.5,37.3,35.5,1000,50
SBPOC,TP,BDA,LWR,3,6/17/2021,32.5,32.5,32.3,31.5,1000,11
SBPOC,TP,BDA,MID,1,6/17/2021,43.4,40.5,42.4,43.4,1000,13
SBPOC,TP,BDA,MID,2,6/17/2021,57,55,56.4,54.5,1000,49
SBPOC,TP,BDA,MID,3,6/17/2021,40.8,40.5,41.4,40.5,1000,7
SBPOC,TP,BDA,UPR,1,6/17/2021,18.7,19.5,20,17,1000,8
SBPOC,TP,BDA,UPR,2,6/17/2021,20.8,20.5,23.8,22,1000,7
SBPOC,TP,BDA,UPR,3,6/17/2021,23.6,21,22.8,24,1000,4
SBPOC,TP,REF,LWR,1,6/17/2021,46.5,47,46.6,45.5,1000,65
SBPOC,TP,REF,LWR,2,6/17/2021,36.5,36.5,36,36,1000,85
SBPOC,TP,REF,LWR,3,6/17/2021,45,46,45,44,1000,75
SBPOC,TP,REF,MID,1,6/17/2021,32,32.7,31.8,33,1000,13
SBPOC,TP,REF,MID,2,6/17/2021,25,25.5,24,25.2,1000,18
SBPOC,TP,REF,MID,3,6/17/2021,44.5,45.2,45.6,46.5,1000,25
SBPOC,TP,REF,UPR,1,6/17/2021,32.5,31.4,30.3,30.8,1000,51
SBPOC,TP,REF,UPR,2,6/17/2021,14,14,12,13.5,1000,26
SBPOC,TP,REF,UPR,3,6/17/2021,42.5,42.3,41.3,40.5,1000,75
SBPOC,LP,BDA,LWR,1,7/5/2021,32,33,31.5,31,1000,20
SBPOC,LP,BDA,LWR,2,7/5/2021,32.5,34,33.5,32,1000,30
SBPOC,LP,BDA,LWR,3,7/5/2021,25,24,25,25,1000,30
SBPOC,LP,BDA,MID,1,7/5/2021,29.5,29.5,27.5,29,1000,40
SBPOC,LP,BDA,MID,2,7/5/2021,25,24,25,25,1000,50
SBPOC,LP,BDA,MID,3,7/5/2021,26.5,25.5,25,25,1000,40
SBPOC,LP,BDA,UPR,1,7/5/2021,30.5,29.5,28.5,30,1000,40
SBPOC,LP,BDA,UPR,2,7/5/2021,24,24,24.5,24,1000,50
SBPOC,LP,BDA,UPR,3,7/5/2021,17.5,16,18.5,19,1000,40
SBPOC,LP,REF,LWR,1,7/5/2021,15,17,18,19,1000,30
SBPOC,LP,REF,LWR,2,7/5/2021,14,14,15,15,1000,50
SBPOC,LP,REF,LWR,3,7/5/2021,10,10,10,9.5,1000,50
SBPOC,LP,REF,MID,1,7/5/2021,17,16,18,18.5,1000,50
SBPOC,LP,REF,MID,2,7/5/2021,18,17,17,18,1000,10
SBPOC,LP,REF,MID,3,7/5/2021,16,15,15,16.5,1000,50
SBPOC,LP,REF,UPR,1,7/5/2021,19,19,20,19.5,1000,50
SBPOC,LP,REF,UPR,2,7/5/2021,7,9,7,8,500,20
SBPOC,LP,REF,UPR,3,7/5/2021,15,14,15,13.5,1000,200
SBPOC,FH,BDA,LWR,1,7/6/2021,34.5,32,34,33.5,800,10
SBPOC,FH,BDA,LWR,2,7/6/2021,15,17,15,17,1000,50
SBPOC,FH,BDA,LWR,3,7/6/2021,30,27,25,27.5,1000,1000
SBPOC,FH,BDA,MID,1,7/6/2021,23,22,24.5,24.5,500,5
SBPOC,FH,BDA,MID,2,7/6/2021,17,17,17,16.5,1000,10
SBPOC,FH,BDA,MID,3,7/6/2021,20,20,19.5,20.5,1000,10
SBPOC,FH,BDA,UPR,1,7/6/2021,19.5,18,19,19,1000,10
SBPOC,FH,BDA,UPR,2,7/6/2021,17,18,16.5,17.5,1000,20
SBPOC,FH,BDA,UPR,3,7/6/2021,15,13,15,15,1000,20
SBPOC,FH,REF,LWR,1,7/6/2021,17,18,16,18,1000,75
SBPOC,FH,REF,LWR,2,7/6/2021,10,10,8,9.5,500,50
SBPOC,FH,REF,LWR,3,7/6/2021,8.5,8,8,7,500,75
SBPOC,FH,REF,MID,1,7/6/2021,12,12,14,14,1000,200
SBPOC,FH,REF,MID,2,7/6/2021,20,23,18,19,1000,75
SBPOC,FH,REF,MID,3,7/6/2021,14,13,12,13,1000,100
SBPOC,FH,REF,UPR,1,7/6/2021,10,10,11,11,1000,100
SBPOC,FH,REF,UPR,2,7/6/2021,9,9,10,9.5,1000,30
SBPOC,FH,REF,UPR,3,7/6/2021,8,9.5,10,9.5,1000,30
SBPOC,TP,BDA,LWR,1,7/8/2021,58,58,57,57,2000,30
SBPOC,TP,BDA,LWR,2,7/8/2021,20,20,20,19,1000,30
SBPOC,TP,BDA,LWR,3,7/8/2021,15,15,14.5,13,1000,10
SBPOC,TP,BDA,MID,1,7/8/2021,39,39,38.5,39,1000,5
SBPOC,TP,BDA,MID,2,7/8/2021,28,29,29,28,1000,5
SBPOC,TP,BDA,MID,3,7/8/2021,39.5,39,37,38.5,1000,40
SBPOC,TP,BDA,UPR,1,7/8/2021,10,9,10,9,1000,5
SBPOC,TP,BDA,UPR,2,7/8/2021,14.5,16,14,14,2000,5
SBPOC,TP,BDA,UPR,3,7/8/2021,13.5,16,16,16,1000,10
SBPOC,TP,REF,LWR,1,7/8/2021,16.5,16.5,16.5,17,1000,10
SBPOC,TP,REF,LWR,2,7/8/2021,40.5,40,41,41.5,2000,70
SBPOC,TP,REF,LWR,3,7/8/2021,22,21.5,22,21.5,1000,50
SBPOC,TP,REF,MID,1,7/8/2021,15.5,13,14,14,1000,20
SBPOC,TP,REF,MID,2,7/8/2021,18,18,17,18,1000,10
SBPOC,TP,REF,MID,3,7/8/2021,19,16.5,19,19.5,1000,15
SBPOC,TP,REF,UPR,1,7/8/2021,27,25.5,26,27,2000,50
SBPOC,TP,REF,UPR,2,7/8/2021,18,16.5,16,15,1000,30
SBPOC,TP,REF,UPR,3,7/8/2021,9,12,13,12.5,2000,100
SBPOC,LP,BDA,LWR,1,8/2/2021,30,29,30,31,1000,20
SBPOC,LP,BDA,LWR,2,8/2/2021,32,32.5,31,31.5,1000,20
SBPOC,LP,BDA,LWR,3,8/2/2021,26.5,27,27,27.5,1000,20
SBPOC,LP,BDA,MID,1,8/2/2021,26,26.5,26.5,27,1000,20
SBPOC,LP,BDA,MID,2,8/2/2021,31,29.5,30,29,1000,20
SBPOC,LP,BDA,MID,3,8/2/2021,23.5,24,25,23,300,10
SBPOC,LP,BDA,UPR,1,8/2/2021,24.5,24.5,24.5,25,1000,10
SBPOC,LP,BDA,UPR,2,8/2/2021,24.5,23.5,23,25,1000,20
SBPOC,LP,BDA,UPR,3,8/2/2021,17,17,17,18,1000,10
SBPOC,LP,REF,LWR,1,8/2/2021,11,19,17.5,15,1000,20
SBPOC,LP,REF,LWR,2,8/2/2021,24,25,22,24.5,1000,20
SBPOC,LP,REF,LWR,3,8/2/2021,12,14,14.5,13,1000,30
SBPOC,LP,REF,MID,1,8/2/2021,20,19.5,19,18,1000,20
SBPOC,LP,REF,MID,2,8/2/2021,15,14.5,14,15.5,1000,20
SBPOC,LP,REF,MID,3,8/2/2021,14,14,13,14,1000,20
SBPOC,LP,REF,UPR,1,8/2/2021,3,4,4,4,58,20
SBPOC,LP,REF,UPR,2,8/2/2021,8,5,6,9,260,30
SBPOC,LP,REF,UPR,3,8/2/2021,4,8,8,8,180,50
SBPOC,FH,BDA,LWR,1,8/3/2021,31,30,29.5,30.5,1000,10
SBPOC,FH,BDA,LWR,2,8/3/2021,8,8,7.5,9,500,10
SBPOC,FH,BDA,LWR,3,8/3/2021,22,22,22,22,1000,20
SBPOC,FH,BDA,MID,1,8/3/2021,30,26,32,29.5,1000,5
SBPOC,FH,BDA,MID,2,8/3/2021,12.5,13,13,12,500,5
SBPOC,FH,BDA,MID,3,8/3/2021,15,15,15,15,1000,5
SBPOC,FH,BDA,UPR,1,8/3/2021,28,27,26.5,27,1000,20
SBPOC,FH,BDA,UPR,2,8/3/2021,19,18,17.5,18,1000,20
SBPOC,FH,BDA,UPR,3,8/3/2021,21,19,20,19.5,1000,20
SBPOC,FH,REF,LWR,1,8/3/2021,11.5,10,13,12,1000,100
SBPOC,FH,REF,LWR,2,8/3/2021,14,14,13.5,14,1000,100
SBPOC,FH,REF,LWR,3,8/3/2021,13,13,12,14,1000,20
SBPOC,FH,REF,MID,1,8/3/2021,11.5,12,11,10.5,1000,100
SBPOC,FH,REF,MID,2,8/3/2021,10,9,9.5,10,1000,100
SBPOC,FH,REF,MID,3,8/3/2021,10,9.5,10.5,10,1000,200
SBPOC,FH,REF,UPR,1,8/3/2021,7,8,7,9,1000,50
SBPOC,FH,REF,UPR,2,8/3/2021,7.5,9.5,9,9.5,1000,50
SBPOC,FH,REF,UPR,3,8/3/2021,7,8,8.5,9,1000,50
SBPOC,TP,BDA,LWR,1,8/5/2021,44,44.5,44.5,43,1000,10
SBPOC,TP,BDA,LWR,2,8/5/2021,13,13,12,14,500,5
SBPOC,TP,BDA,LWR,3,8/5/2021,23,24,24,22,1000,10
SBPOC,TP,BDA,MID,1,8/5/2021,27,20,24,26,1000,5
SBPOC,TP,BDA,MID,2,8/5/2021,18,15,15,16,1000,5
SBPOC,TP,BDA,MID,3,8/5/2021,18,15,15,15,500,5
SBPOC,TP,BDA,UPR,1,8/5/2021,10,10,9,10,1000,3
SBPOC,TP,BDA,UPR,2,8/5/2021,9,9,11,10,500,5
SBPOC,TP,BDA,UPR,3,8/5/2021,9,9,10,11,500,30
SBPOC,TP,REF,LWR,1,8/5/2021,34.5,31.5,33,33,1000,20
SBPOC,TP,REF,LWR,2,8/5/2021,12.5,13,13,12,1000,20
SBPOC,TP,REF,LWR,3,8/5/2021,20,18,17,17,1000,20
SBPOC,TP,REF,MID,1,8/5/2021,17,15,13.5,14,1000,10
SBPOC,TP,REF,MID,2,8/5/2021,23,20,20,20,1000,10
SBPOC,TP,REF,MID,3,8/5/2021,18,18.5,18,18,1000,30
SBPOC,TP,REF,UPR,1,8/5/2021,23,22,23,23,1000,10
SBPOC,TP,REF,UPR,2,8/5/2021,28,25,25,26,1000,20
SBPOC,TP,REF,UPR,3,8/5/2021,40,41.5,41,40,1000,50