"Site","Reach","Location","Replicate","Date","BPOC_Carbon_Mass_per_Area","SBPOC_Carbon_Mass_per_Area","FBPOC_Carbon_Mass_per_Area","Total_BPOC_Mass_per_Area"
"LP","BDA","LWR","1","June",0,1.23200071646669,1.13723143058463,2.36923214705132
"LP","BDA","LWR","2","June",0.0229160603666902,1.59610717280398,4.97878914984196,6.59781238301263
"LP","BDA","LWR","3","June",0,0.465250894180469,10.3832817585341,10.8485326527145
"LP","BDA","MID","1","June",0,4.44199372810653,12.2080222942243,16.6500160223308
"LP","BDA","MID","2","June",0,9.52749820714648,20.1771479585095,29.704646165656
"LP","BDA","MID","3","June",0,48.5521381435636,3.84381103561119,52.3959491791748
"LP","BDA","UPR","1","June",0,53.3819771747495,40.4030837846804,93.7850609594299
"LP","BDA","UPR","2","June",0.0890699704818526,5.84579594999199,8.99073225185567,14.9255981723295
"LP","BDA","UPR","3","June",0,3.58446298988456,3.53077339445344,7.115236384338
"LP","REF","LWR","1","June",0,1.70430275751443,7.25113736027915,8.95544011779359
"LP","REF","LWR","2","June",0,0.993509713575358,1.37538963598371,2.36889934955906
"LP","REF","LWR","3","June",0,0.653115078561638,0.68939924959284,1.34251432815448
"LP","REF","MID","1","June",0,93.8194857653944,2.55796472488886,96.3774504902832
"LP","REF","MID","2","June",0,45.6083463342245,15.4917232647359,61.1000695989605
"LP","REF","MID","3","June",0,4.83644715576934,14.1766531742245,19.0131003299938
"LP","REF","UPR","1","June",0,0.0996832488537152,0.301857725402095,0.40154097425581
"LP","REF","UPR","2","June",0,22.139643574923,40.0396982876164,62.1793418625394
"LP","REF","UPR","3","June",0,0.630625248029957,2.0048968924381,2.63552214046806
"FH","BDA","LWR","1","June",10.6910758245753,0,10.2101230633422,20.9011988879175
"FH","BDA","LWR","2","June",0.34892944747017,0,2.24048978383432,2.58941923130449
"FH","BDA","LWR","3","June",0,0.317743605696727,2.1533037741431,2.47104737983983
"FH","BDA","MID","1","June",0,0.678823684838779,14.4870908349739,15.1659145198127
"FH","BDA","MID","2","June",0.372061697085603,0.65951623032684,8.36153699305028,9.39311492046272
"FH","BDA","MID","3","June",0.0633434498815117,0,10.7476256797487,10.8109691296302
"FH","BDA","UPR","1","June",26.2641615679266,11.13875806577,4.921069584778,42.3239892184745
"FH","BDA","UPR","2","June",0,0.171926304478372,3.0127272981023,3.18465360258068
"FH","BDA","UPR","3","June",0,0.127669437968515,1.41854931076126,1.54621874872978
"FH","REF","LWR","1","June",0,0.182768222780927,1.65878750048696,1.84155572326788
"FH","REF","LWR","2","June",0,0.158338806864665,1.28179034128538,1.44012914815004
"FH","REF","LWR","3","June",0,0.0735482457896164,0.646420129010296,0.719968374799913
"FH","REF","MID","1","June",0,1.65843390315144,0.319970922246491,1.97840482539793
"FH","REF","MID","2","June",0,0.458636544021787,0.174718683436872,0.633355227458659
"FH","REF","MID","3","June",0,0.015007086916631,0.190474564711089,0.20548165162772
"FH","REF","UPR","1","June",0.183544672182264,1.44966587628764,0.743594396770019,2.37680494523992
"FH","REF","UPR","2","June",0,0,0.257224728393172,0.257224728393172
"FH","REF","UPR","3","June",0,0.0211118409152886,0.631470241662649,0.652582082577938
"TP","BDA","LWR","1","June",7.40728895441677,11.1115622706993,6.00422142287025,24.5230726479863
"TP","BDA","LWR","2","June",0.356496071176153,1.48173923460427,3.36583063735172,5.20406594313214
"TP","BDA","LWR","3","June",10.2218600590363,13.2092420639875,11.8729287153692,35.304030838393
"TP","BDA","MID","1","June",12.1031010587436,32.6219749826174,28.8317827429709,73.556858784332
"TP","BDA","MID","2","June",6.30753752130711,5.09472920952855,3.48747576153176,14.8897424923674
"TP","BDA","MID","3","June",42.7196920624046,25.8536227843922,18.185005827103,86.7583206738998
"TP","BDA","UPR","1","June",9.30255850337038,2.80666845082394,6.35435211785289,18.4635790720472
"TP","BDA","UPR","2","June",21.8499199875797,9.41107628442421,7.77319856923223,39.0341948412362
"TP","BDA","UPR","3","June",2.81435164012805,0,14.5871900806929,17.401541720821
"TP","REF","LWR","1","June",1.28394794828088,0,1.52190853191532,2.8058564801962
"TP","REF","LWR","2","June",0,0.790898440318386,1.06593079138797,1.85682923170636
"TP","REF","LWR","3","June",4.04381989772586,2.92263797695516,2.46478142705586,9.43123930173688
"TP","REF","MID","1","June",16.8298424925387,30.3295410568661,14.3854916005578,61.5448751499626
"TP","REF","MID","2","June",1.25778904918305,0.451881794921059,8.20033820773649,9.9100090518406
"TP","REF","MID","3","June",18.7145676683457,3.60575682942843,11.262075136535,33.5823996343092
"TP","REF","UPR","1","June",11.5421278011059,3.16240297024655,2.32968440584096,17.0342151771934
"TP","REF","UPR","2","June",1.97207832702781,0.530957599058692,2.84077859379272,5.34381451987923
"TP","REF","UPR","3","June",4.81539932648734,0,2.05273653195057,6.86813585843791
"LP","BDA","LWR","1","July",0,3.35075075098366,13.1873606288714,16.538111379855
"LP","BDA","LWR","2","July",0.344821851744065,3.14540429833718,5.89155560517784,9.38178175525908
"LP","BDA","LWR","3","July",1.05673304785266,5.56200288846667,8.55428220731793,15.1730181436373
"LP","BDA","MID","1","July",11.0276934581456,1.07449390333267,10.2565327136301,22.3587200751084
"LP","BDA","MID","2","July",0.0791252650397039,1.55395629042484,2.60497237067069,4.23805392613523
"LP","BDA","MID","3","July",17.6072020894092,16.7220599937413,8.65208480367632,42.9813468868268
"LP","BDA","UPR","1","July",31.0173087256136,5.71654572393524,13.737256485224,50.4711109347729
"LP","BDA","UPR","2","July",0.179437076456159,1.22687355510155,3.75957167038267,5.16588230194038
"LP","BDA","UPR","3","July",0,0.259166047098026,4.18830843970917,4.44747448680719
"LP","REF","LWR","1","July",65.0607796062494,1.50861783206514,6.26716610816166,72.8365635464762
"LP","REF","LWR","2","July",0.28753170082734,0,1.53814840954245,1.82568011036979
"LP","REF","LWR","3","July",0.324500062362283,0.117888311672539,0.741306414010724,1.18369478804555
"LP","REF","MID","1","July",11.365111282967,4.7917846923158,3.23915959186,19.3960555671428
"LP","REF","MID","2","July",9.24233202596625,4.56452560478826,18.2908621722975,32.097719803052
"LP","REF","MID","3","July",53.4897232801289,8.24903064082289,5.12674536827619,66.8654992892279
"LP","REF","UPR","1","July",3.24824346235397,0.640583172993696,3.89393865788293,7.7827652932306
"LP","REF","UPR","2","July",25.1414718116693,6.3045988927599,5.9419952250986,37.3880659295278
"LP","REF","UPR","3","July",0.215108302498649,0,0.220894335488044,0.436002637986693
"FH","BDA","LWR","1","July",46.9661061281282,20.892955064666,40.9366915284753,108.79575272127
"FH","BDA","LWR","2","July",0.359306531409803,0.0490876301084545,1.68062733591657,2.08902149743483
"FH","BDA","LWR","3","July",2.1281669646198,0.153877240484044,0.219417546616138,2.50146175171998
"FH","BDA","MID","1","July",99.9597855957409,23.379127830531,37.1485200736014,160.487433499873
"FH","BDA","MID","2","July",0,1.51767616380761,15.6425221284166,17.1601982922242
"FH","BDA","MID","3","July",33.2369894483849,3.73773183495307,12.4799059597765,49.4546272431145
"FH","BDA","UPR","1","July",151.530593235051,9.74733695058876,12.678024466888,173.955954652528
"FH","BDA","UPR","2","July",39.1315472083997,10.1743993325323,3.73331186825898,53.039258409191
"FH","BDA","UPR","3","July",12.8999527698265,5.13847127991757,4.07156931937709,22.1099933691212
"FH","REF","LWR","1","July",0,0.0926581017905241,1.03153356038642,1.12419166217694
"FH","REF","LWR","2","July",0,0.0801625959482979,1.22199079189479,1.30215338784308
"FH","REF","LWR","3","July",0,0.0221830328435032,0.525820037771917,0.548003070615421
"FH","REF","MID","1","July",0,0.11559512895243,0.135198981230912,0.250794110183342
"FH","REF","MID","2","July",1.71913690599925,0.237118213235754,1.26185715815518,3.21811227739019
"FH","REF","MID","3","July",0.100095622167713,0.0696274753339195,0.290677809646461,0.460400907148094
"FH","REF","UPR","1","July",0,0,0.262078025155307,0.262078025155307
"FH","REF","UPR","2","July",0,0.00782074106812706,1.1568179496604,1.16463869072852
"FH","REF","UPR","3","July",0,0.0502940210178995,1.22511076838473,1.27540478940263
"TP","BDA","LWR","1","July",24.5800680052088,0.173418693232726,8.07293916773044,32.826425866172
"TP","BDA","LWR","3","July",3.37103895563963,4.52721068596853,13.4782984365586,21.3765480781668
"TP","BDA","MID","1","July",118.934026330328,13.0449389020662,52.1878467472955,184.16681197969
"TP","BDA","MID","2","July",78.8873752667635,2.05551851098744,21.9334347243073,102.876328502058
"TP","BDA","MID","3","July",1.19768843803268,0.0600595474314232,3.80377133732355,5.06151932278765
"TP","BDA","UPR","1","July",0.154575312850788,0.0894133262409824,4.74236426471508,4.98635290380685
"TP","BDA","UPR","2","July",0.364927451877105,0.0125267056071259,6.22539308960184,6.60284724708607
"TP","BDA","UPR","3","July",0.139442065438822,0.0408404922533687,2.64262008698268,2.82290264467487
"TP","REF","LWR","1","July",9.22496549130514,0.816581046791444,10.8762380439452,20.9177845820418
"TP","REF","LWR","2","July",0.463293560054879,0,2.27312572838787,2.73641928844275
"TP","REF","LWR","3","July",25.1724677518052,1.24921778673036,2.19916742854528,28.6208529670809
"TP","REF","MID","1","July",61.8838807929596,1.30875213811931,5.02238215468756,68.2150150857665
"TP","REF","MID","2","July",9.05041364145795,6.03394093225725,17.5862674816518,32.670622055367
"TP","REF","MID","3","July",0.657863883923004,0.383835107675376,5.38715940597021,6.42885839756859
"TP","REF","UPR","1","July",1.15704485926911,0,2.41610979381274,3.57315465308185
"TP","REF","UPR","2","July",78.3433268368158,0.650681496899481,3.75229172523947,82.7463000589547
"TP","REF","UPR","3","July",0.187652267908369,0.00452396591041899,0.27143795462514,0.463614188443928
"LP","BDA","LWR","1","August",3.53858562341496,16.7573937274899,43.7576702714665,64.0536496223713
"LP","BDA","LWR","2","August",2.11346609570532,16.30437314115,10.9963571388081,29.4141963756635
"LP","BDA","LWR","3","August",17.1879100320126,18.9931688801839,11.9339100740363,48.1149889862328
"LP","BDA","MID","1","August",30.5807866272222,20.2454234440311,14.9511873378531,65.7773974091065
"LP","BDA","MID","2","August",19.9220818861734,17.648401813449,13.2934398295295,50.8639235291518
"LP","BDA","UPR","1","August",29.038835927383,30.1044659528815,22.2579122792614,81.401214159526
"LP","BDA","UPR","2","August",85.963546243716,24.8287729069754,8.9855322910391,119.77785144173
"LP","BDA","UPR","3","August",15.9756210411685,36.1609487152786,17.811945781091,69.9485155375381
"LP","REF","LWR","1","August",65.5365314406995,9.47149982911279,5.35387965674412,80.3619109265565
"LP","REF","LWR","2","August",7.30611566124808,14.5319508969385,12.0550691610625,33.893135719249
"LP","REF","LWR","3","August",5.32733546750925,7.65289673288926,2.57814057285717,15.5583727732557
"LP","REF","MID","1","August",101.822174021075,22.9079853807454,13.6563970945263,138.386556496346
"LP","REF","MID","2","August",10.3364685452657,17.4289998667153,4.38668694486145,32.1521553568424
"LP","REF","MID","3","August",8.26003872126749,23.3734910730059,11.2303553755539,42.8638851698272
"LP","REF","UPR","1","August",2.24685486217935,36.150306905813,2.03526466360689,40.4324264315992
"LP","REF","UPR","2","August",2.35559805429676,14.4688909721159,1.40745606101924,18.2319450874319
"LP","REF","UPR","3","August",0,19.0451453774127,0.196558518866481,19.2417038962791
"FH","BDA","LWR","2","August",2.37873030391219,7.94882650296046,0.800273969670675,11.1278307765433
"FH","BDA","LWR","3","August",6.82228412256267,11.225987408468,5.83435603619553,23.8826275672262
"FH","BDA","MID","1","August",87.8664670401102,22.2561026928973,56.2594160666726,166.38198579968
"FH","BDA","MID","2","August",2.29225460441525,18.4974670154616,37.8702746349419,58.6599962548187
"FH","BDA","MID","3","August",43.3594391428939,19.044336494619,21.6838366051117,84.0876122426245
"FH","BDA","UPR","2","August",10.8349727684696,9.1003942255164,110.731345602648,130.666712596634
"FH","BDA","UPR","3","August",6.1946867334636,10.6324898806684,5.48439867324012,22.3115752873721
"FH","REF","LWR","1","August",3.6179270777034,5.61273370619316,0.548907863797504,9.77956864769407
"FH","REF","LWR","2","August",0,0,0.216838366051117,0.216838366051117
"FH","REF","LWR","3","August",0,6.35840808728981,29.6761763801853,36.0345844674751
"FH","REF","MID","1","August",2.16254105516983,5.48755504945579,0.129271025900017,7.77936713052564
"FH","REF","MID","2","August",2.48855444227331,0,0.139774946749497,2.62832938902281
"FH","REF","MID","3","August",0,5.10532152971191,0.103999216331471,5.20932074604338
"FH","REF","UPR","1","August",0,0,0.0892313276124013,0.0892313276124013
"FH","REF","UPR","2","August",0,4.34519645750601,0.388749070647037,4.73394552815305
"FH","REF","UPR","3","August",0,3.95377460699925,0.294837778299721,4.24861238529897
"TP","BDA","LWR","1","August",18.6584792970727,22.8020361791077,14.4142913835419,55.8748068597223
"TP","BDA","LWR","2","August",2.40941381836978,13.2305723032571,22.5782298655624,38.2182159871892
"TP","BDA","LWR","3","August",20.4016561190874,13.8085011483719,51.007975638015,85.2181329054743
"TP","BDA","MID","1","August",21.3766782131597,12.4312031267685,21.9864743246363,55.7943556645645
"TP","BDA","MID","2","August",11.1683285879607,12.9100467185235,56.2427761920595,80.3211514985437
"TP","BDA","MID","3","August",20.6196441384775,36.7893275802358,25.4694080795773,82.8783797982906
"TP","BDA","UPR","1","August",3.33839437907953,4.85492261655063,9.17273088043577,17.3660478760659
"TP","BDA","UPR","2","August",9.33638421830785,13.2321738911886,12.6379847686004,35.2065428780968
"TP","BDA","UPR","3","August",4.62722846517441,0,0.407676928019369,5.03490539319378
"TP","REF","LWR","1","August",2.1067642289943,16.447736060863,3.26037543199162,21.8148757218489
"TP","REF","LWR","2","August",0,6.17193749240748,4.38980692135139,10.5617444137589
"TP","REF","LWR","3","August",16.855451834304,10.0769000672216,6.2711527447877,33.2035046463133
"TP","REF","MID","1","August",18.969442321973,7.92227030307022,20.5320452842407,47.4237579092839
"TP","REF","MID","2","August",59.6120521600909,13.5242244904906,16.1157185627247,89.2519952133063
"TP","REF","MID","3","August",0,0,2.00787820330626,2.00787820330626
"TP","REF","UPR","1","August",4.08554442273313,0,9.84040584928379,13.9259502720169
"TP","REF","UPR","2","August",21.289660059597,0,4.32636739938919,25.6160274589862
"TP","REF","UPR","3","August",14.4330316825257,0,2.02673672786771,16.4597684103934
